account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,churned_next_180d,days_since_signup,n_subscriptions,n_upgrades,n_downgrades,n_trial_subs,total_mrr,max_mrr,avg_mrr,auto_renew_pct,tenure_days,n_ended_subs,latest_plan_tier,billing_freq,latest_seats,latest_mrr,first_seats,first_mrr,seat_growth,mrr_growth,mrr_growth_pct,upgrade_net,mrr_std,mrr_cv,pct_subs_ended,days_since_last_sub_start,total_usage_events,unique_features_used,total_usage_duration_mins,total_errors,beta_feature_pct,avg_usage_count,days_since_last_usage,usage_span_days,error_rate,usage_last_30d,usage_last_60d,usage_last_90d,usage_last_180d,accel_30d_vs_90d,accel_30d_vs_180d,accel_90d_vs_180d,usage_prior_90d,usage_momentum,usage_delta_90d,recency_ratio_90d,usage_trend_slope,mean_gap_days,max_gap_days,n_tickets,avg_resolution_hours,max_resolution_hours,avg_first_response_mins,avg_satisfaction,min_satisfaction,sat_missing_rate,n_escalations,days_since_last_ticket,n_urgent_high,urgent_pct,escalation_rate,tickets_last_30d,tickets_last_90d,tickets_last_180d,ticket_accel_30d_vs_90d,usage_per_seat,tickets_per_seat,mrr_per_seat
A-96e141,Company_134,DevTools,UK,2023-08-12,partner,Basic,14,False,False,1,293,4.0,0.0,0.0,1.0,5432.0,2786.0,1358.0,1.0,230.0,0.0,Enterprise,monthly,14.0,2786.0,40.0,0.0,-26.0,2786.0,,0.0,1155.5443161846572,0.851,0.0,27.0,12.0,10.0,398.6,6.0,0.083,8.0,9.0,450.0,0.5,2.0,3.0,3.0,5.0,2.0,2.4,1.2,2.0,1.5,1.0,0.25,0.0378,40.9,161.0,5.0,32.8,70.0,68.4,4.33,4.0,0.4,0.0,46.0,3.0,0.6,0.0,0.0,2.0,3.0,0.0,0.86,0.357,388.0
A-50f3f7,Company_140,HealthTech,US,2023-12-22,partner,Basic,31,False,True,0,161,6.0,0.0,1.0,1.0,13551.0,8955.0,2258.5,0.833,147.0,0.0,Pro,annual,31.0,1519.0,45.0,8955.0,-14.0,-7436.0,-0.83,-1.0,3331.2969096134316,1.475,0.0,16.0,17.0,14.0,823.6,8.0,0.235,9.53,11.0,478.0,0.4706,2.0,4.0,4.0,5.0,1.5,2.4,1.6,1.0,4.0,3.0,0.235,-0.0,29.9,106.0,5.0,40.2,70.0,48.4,5.0,5.0,0.6,1.0,167.0,2.0,0.4,0.2,0.0,0.0,1.0,,0.55,0.161,437.1
A-019782,Company_142,DevTools,FR,2023-04-19,event,Enterprise,11,False,False,0,408,7.0,1.0,0.0,1.0,8087.0,3184.0,1155.3,0.714,358.0,1.0,Pro,monthly,11.0,539.0,17.0,833.0,-6.0,-294.0,-0.353,1.0,1228.5455783548439,1.063,0.143,15.0,27.0,21.0,1194.7,12.0,0.037,10.22,40.0,469.0,0.4444,0.0,2.0,3.0,8.0,0.0,0.0,0.75,5.0,0.6,-2.0,0.111,-0.0151,18.0,60.0,0.0,,,,,,,0.0,516.0,0.0,,,0.0,0.0,0.0,,2.45,,735.2
A-3932db,Company_144,HealthTech,CA,2023-10-04,other,Pro,19,True,True,0,240,3.0,1.0,1.0,0.0,1577.0,779.0,525.7,1.0,173.0,0.0,Basic,monthly,41.0,779.0,23.0,437.0,18.0,342.0,0.783,0.0,222.659680529128,0.424,0.0,86.0,8.0,7.0,291.5,7.0,0.125,7.88,88.0,404.0,0.875,0.0,0.0,1.0,3.0,0.0,0.0,0.667,2.0,0.5,-1.0,0.125,-0.0,57.7,124.0,5.0,37.0,68.0,89.0,4.33,3.0,0.4,0.0,124.0,3.0,0.6,0.0,0.0,0.0,2.0,,0.42,0.263,83.0
A-8ae05d,Company_147,FinTech,IN,2024-04-06,other,Enterprise,86,False,False,1,55,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,47.0,47.0,48.0,4.0,4.0,0.0,0.0,299.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.012,
A-439b2f,Company_152,DevTools,US,2024-02-21,ads,Enterprise,1,False,True,1,100,4.0,0.0,0.0,1.0,446.0,199.0,111.5,0.75,83.0,1.0,Enterprise,monthly,1.0,199.0,7.0,133.0,-6.0,66.0,0.496,0.0,82.77882176821154,0.742,0.25,1.0,12.0,9.0,441.8,2.0,0.167,8.92,21.0,470.0,0.1667,1.0,1.0,3.0,3.0,1.0,2.0,2.0,0.0,,3.0,0.25,-0.0,47.0,183.0,2.0,17.5,30.0,66.5,,,1.0,0.0,129.0,1.0,0.5,0.0,0.0,0.0,1.0,,12.0,2.0,446.0
A-544d0a,Company_153,DevTools,US,2024-05-02,organic,Basic,2,True,False,0,29,1.0,0.0,0.0,0.0,2107.0,2107.0,2107.0,0.0,7.0,0.0,Pro,monthly,43.0,2107.0,43.0,2107.0,0.0,0.0,0.0,0.0,,,0.0,7.0,2.0,2.0,31.5,0.0,0.0,11.0,42.0,298.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,,1.0,0.5,,298.0,298.0,2.0,38.5,50.0,98.0,4.0,3.0,0.0,1.0,42.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1053.5
A-038089,Company_156,DevTools,FR,2023-12-19,other,Pro,5,False,True,1,164,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,6.0,30.2,61.0,86.2,3.67,3.0,0.5,0.0,6.0,2.0,0.333,0.0,1.0,2.0,3.0,1.5,,1.2,
A-d5a319,Company_158,FinTech,US,2023-05-04,other,Enterprise,15,False,True,0,393,7.0,2.0,1.0,2.0,15577.0,13930.0,2225.3,0.857,339.0,0.0,Basic,annual,15.0,285.0,15.0,0.0,0.0,285.0,,1.0,5167.201360965325,2.322,0.0,136.0,29.0,22.0,1688.2,21.0,0.069,10.41,24.0,483.0,0.7241,1.0,2.0,2.0,4.0,1.5,1.5,1.0,2.0,1.0,0.0,0.069,0.0,17.9,71.0,0.0,,,,,,,0.0,516.0,0.0,,,0.0,0.0,0.0,,1.93,,1038.5
A-f97b9a,Company_159,FinTech,US,2023-07-09,event,Pro,16,False,False,0,327,4.0,0.0,0.0,2.0,9751.0,5970.0,2437.8,0.75,264.0,0.0,Enterprise,annual,30.0,5970.0,16.0,0.0,14.0,5970.0,,0.0,2953.3235938515104,1.211,0.0,47.0,19.0,16.0,944.5,12.0,0.105,9.84,25.0,341.0,0.6316,2.0,3.0,8.0,11.0,0.75,1.091,1.455,3.0,2.667,5.0,0.421,-0.0391,20.1,56.0,5.0,30.4,59.0,67.0,3.67,3.0,0.4,0.0,258.0,3.0,0.6,0.0,0.0,0.0,0.0,,1.19,0.312,609.4
A-856b1e,Company_161,FinTech,US,2023-10-31,partner,Basic,19,False,False,0,213,5.0,1.0,0.0,0.0,6321.0,1764.0,1264.2,0.8,211.0,0.0,Pro,monthly,36.0,1764.0,19.0,931.0,17.0,833.0,0.895,1.0,359.0733908270007,0.284,0.0,118.0,9.0,9.0,427.0,13.0,0.222,9.67,32.0,416.0,1.4444,0.0,2.0,2.0,3.0,0.0,0.0,1.333,1.0,2.0,1.0,0.222,0.0,52.0,129.0,4.0,44.8,65.0,68.5,,,1.0,1.0,111.0,0.0,0.0,0.25,0.0,0.0,2.0,,0.47,0.211,332.7
A-e36807,Company_164,EdTech,AU,2024-05-17,other,Pro,6,False,False,0,14,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,69.0,69.0,159.0,4.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,,0.167,
A-ff79f2,Company_165,DevTools,US,2024-04-25,ads,Basic,8,False,True,0,36,1.0,0.0,0.0,0.0,228.0,228.0,228.0,1.0,2.0,0.0,Basic,annual,12.0,228.0,12.0,228.0,0.0,0.0,0.0,0.0,,,0.0,2.0,9.0,8.0,343.4,2.0,0.222,9.22,14.0,433.0,0.2222,1.0,2.0,2.0,4.0,1.5,1.5,1.0,2.0,1.0,0.0,0.222,-0.0,54.1,107.0,1.0,37.0,37.0,29.0,,,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.12,0.125,28.5
A-5b1bcd,Company_166,DevTools,US,2023-09-16,organic,Pro,73,False,False,1,258,9.0,1.0,0.0,1.0,89936.0,14527.0,9992.9,1.0,251.0,0.0,Pro,annual,73.0,0.0,73.0,1387.0,0.0,-1387.0,-1.0,1.0,6812.942250680767,0.682,0.0,48.0,37.0,22.0,1644.1,20.0,0.135,10.14,5.0,510.0,0.5405,2.0,3.0,4.0,9.0,1.5,1.333,0.889,5.0,0.8,-1.0,0.108,-0.0196,15.0,53.0,2.0,62.5,67.0,106.5,4.0,4.0,0.5,0.0,52.0,1.0,0.5,0.0,0.0,2.0,2.0,0.0,0.51,0.027,1232.0
A-71615e,Company_167,EdTech,US,2024-05-18,organic,Basic,15,False,False,1,13,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,49.0,49.0,77.0,,,1.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.067,
A-794a0b,Company_168,HealthTech,DE,2023-06-02,organic,Basic,23,False,False,1,364,4.0,0.0,0.0,1.0,3279.0,1715.0,819.8,0.75,298.0,0.0,Pro,monthly,23.0,1127.0,23.0,0.0,0.0,1127.0,,0.0,755.9459306061513,0.922,0.0,59.0,12.0,11.0,463.8,12.0,0.0,8.33,3.0,498.0,1.0,2.0,3.0,3.0,7.0,2.0,1.714,0.857,4.0,0.75,-1.0,0.25,-0.0,45.3,123.0,0.0,,,,,,,0.0,516.0,0.0,,,0.0,0.0,0.0,,0.52,,142.6
A-86902e,Company_169,HealthTech,IN,2023-05-02,other,Enterprise,34,False,False,1,395,7.0,2.0,0.0,2.0,21863.0,12139.0,3123.3,0.857,315.0,0.0,Pro,monthly,34.0,1666.0,34.0,0.0,0.0,1666.0,,2.0,4627.091768929512,1.481,0.0,26.0,30.0,24.0,1746.5,12.0,0.133,10.47,20.0,484.0,0.4,1.0,2.0,4.0,10.0,0.75,0.6,0.8,6.0,0.667,-2.0,0.133,-0.0289,17.9,71.0,8.0,45.2,67.0,78.4,3.0,3.0,0.625,0.0,20.0,3.0,0.375,0.0,1.0,3.0,4.0,1.0,0.88,0.235,643.0
A-ad64c6,Company_175,DevTools,UK,2024-02-23,event,Pro,12,False,False,1,98,1.0,0.0,0.0,0.0,2388.0,2388.0,2388.0,0.0,85.0,0.0,Enterprise,monthly,12.0,2388.0,12.0,2388.0,0.0,0.0,0.0,0.0,,,0.0,85.0,2.0,2.0,108.9,8.0,0.0,11.5,349.0,35.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,35.0,35.0,1.0,4.0,4.0,60.0,,,1.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17,0.083,199.0
A-56962b,Company_177,EdTech,UK,2024-04-09,partner,Enterprise,163,False,False,1,52,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,Pro,monthly,163.0,0.0,163.0,0.0,0.0,0.0,,0.0,,,0.0,16.0,4.0,4.0,209.3,3.0,0.0,10.5,22.0,332.0,0.75,1.0,1.0,1.0,1.0,3.0,6.0,2.0,0.0,,1.0,0.25,,110.7,165.0,4.0,37.5,66.0,105.5,3.0,3.0,0.75,0.0,102.0,1.0,0.25,0.0,0.0,0.0,1.0,,0.02,0.025,0.0
A-296d7c,Company_182,DevTools,DE,2023-11-08,other,Enterprise,2,False,False,1,205,2.0,0.0,0.0,0.0,475.0,361.0,237.5,1.0,122.0,0.0,Basic,monthly,19.0,361.0,6.0,114.0,13.0,247.0,2.167,0.0,174.65537495307723,0.735,0.0,40.0,8.0,8.0,578.1,6.0,0.25,11.25,24.0,388.0,0.75,1.0,1.0,1.0,4.0,3.0,1.5,0.5,3.0,0.333,-2.0,0.125,0.0,55.4,128.0,3.0,50.7,71.0,106.3,3.5,3.0,0.333,0.0,34.0,1.0,0.333,0.0,0.0,1.0,1.0,0.0,4.0,1.5,237.5
A-a1b80b,Company_184,HealthTech,US,2023-11-27,organic,Basic,16,False,False,1,186,5.0,1.0,0.0,1.0,17438.0,10348.0,3487.6,0.6,81.0,0.0,Enterprise,monthly,22.0,0.0,52.0,10348.0,-30.0,-10348.0,-1.0,1.0,4094.549157111195,1.174,0.0,15.0,16.0,15.0,850.1,7.0,0.062,9.62,51.0,465.0,0.4375,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.062,,31.0,97.0,3.0,42.7,58.0,91.7,3.5,3.0,0.333,0.0,181.0,1.0,0.333,0.0,0.0,0.0,0.0,,1.0,0.188,1089.9
A-22d9d2,Company_188,DevTools,FR,2024-03-22,event,Pro,8,False,False,1,70,3.0,1.0,0.0,1.0,2994.0,2842.0,998.0,1.0,65.0,0.0,Basic,annual,10.0,0.0,8.0,152.0,2.0,-152.0,-1.0,1.0,1598.7582681568842,1.602,0.0,31.0,12.0,9.0,589.2,5.0,0.0,11.08,7.0,504.0,0.4167,1.0,6.0,6.0,8.0,0.5,0.75,1.5,2.0,3.0,4.0,0.5,0.0072,45.8,187.0,4.0,19.5,31.0,93.0,4.33,4.0,0.25,0.0,37.0,2.0,0.5,0.0,0.0,1.0,3.0,0.0,1.5,0.5,374.2
A-779e4e,Company_193,HealthTech,US,2023-01-02,organic,Basic,5,False,False,0,515,6.0,2.0,1.0,0.0,24419.0,11542.0,4069.8,1.0,508.0,1.0,Enterprise,annual,36.0,7164.0,9.0,171.0,27.0,6993.0,40.895,1.0,4470.905206629488,1.099,0.167,201.0,22.0,18.0,863.1,6.0,0.091,8.32,7.0,504.0,0.2727,1.0,1.0,4.0,7.0,0.75,0.857,1.143,3.0,1.333,1.0,0.182,0.0,24.0,96.0,4.0,23.2,33.0,71.8,3.67,3.0,0.25,0.0,325.0,3.0,0.75,0.0,0.0,0.0,0.0,,4.4,0.8,4883.8
A-692f18,Company_195,EdTech,US,2024-03-28,other,Basic,5,True,True,1,64,3.0,0.0,0.0,0.0,6996.0,5771.0,2332.0,1.0,63.0,0.0,Pro,annual,6.0,294.0,29.0,5771.0,-23.0,-5477.0,-0.949,0.0,2995.2433957860585,1.284,0.0,6.0,12.0,11.0,456.4,12.0,0.167,8.42,73.0,407.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.4,4.0,0.25,-3.0,0.083,-0.0,37.0,110.0,0.0,,,,,,,0.0,516.0,0.0,,,0.0,0.0,0.0,,2.4,,1399.2
A-1986ca,Company_197,HealthTech,IN,2023-01-30,ads,Pro,20,False,False,0,487,4.0,1.0,0.0,1.0,14129.0,6169.0,3532.2,0.5,330.0,0.0,Enterprise,monthly,31.0,6169.0,20.0,3980.0,11.0,2189.0,0.55,1.0,2571.0050401869435,0.728,0.0,24.0,17.0,14.0,752.5,16.0,0.118,9.76,22.0,456.0,0.9412,2.0,3.0,3.0,6.0,2.0,2.0,1.0,3.0,1.0,0.0,0.176,0.035,28.5,87.0,4.0,24.5,50.0,101.5,3.67,3.0,0.25,0.0,53.0,3.0,0.75,0.0,0.0,1.0,1.0,0.0,0.85,0.2,706.4
A-354f12,Company_201,FinTech,US,2024-04-28,ads,Pro,1,True,False,1,33,1.0,0.0,1.0,0.0,6766.0,6766.0,6766.0,1.0,3.0,0.0,Enterprise,annual,34.0,6766.0,34.0,6766.0,0.0,0.0,0.0,-1.0,,,0.0,3.0,4.0,4.0,277.7,2.0,0.25,13.5,166.0,243.0,0.5,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,-1.0,0.0,,81.0,116.0,2.0,56.5,66.0,137.5,,,1.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,6766.0
A-34d880,Company_207,Cybersecurity,AU,2024-04-11,ads,Enterprise,4,False,False,1,50,2.0,0.0,0.0,0.0,10743.0,10547.0,5371.5,0.5,43.0,0.0,Pro,annual,4.0,196.0,53.0,10547.0,-49.0,-10351.0,-0.981,0.0,7319.262292061953,1.363,0.0,40.0,6.0,6.0,370.6,9.0,0.0,10.5,75.0,283.0,1.5,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,0.333,,56.6,167.0,2.0,51.5,61.0,45.0,3.0,3.0,0.0,0.0,234.0,1.0,0.5,0.0,0.0,0.0,0.0,,1.5,0.5,2685.8
A-508199,Company_208,FinTech,AU,2024-01-28,event,Basic,19,False,False,0,124,4.0,0.0,0.0,0.0,8436.0,3781.0,2109.0,0.5,122.0,0.0,Enterprise,annual,19.0,3781.0,19.0,3781.0,0.0,0.0,0.0,0.0,1931.6562841251027,0.916,0.0,35.0,14.0,11.0,621.9,6.0,0.071,8.79,25.0,468.0,0.4286,1.0,1.0,1.0,5.0,3.0,1.2,0.4,4.0,0.25,-3.0,0.071,-0.0,36.0,78.0,2.0,52.0,60.0,75.0,3.0,3.0,0.5,0.0,69.0,1.0,0.5,0.0,0.0,2.0,2.0,0.0,0.74,0.105,444.0
A-f03140,Company_209,DevTools,IN,2023-11-22,event,Pro,27,True,False,1,191,5.0,0.0,0.0,0.0,9094.0,5373.0,1818.8,0.8,172.0,0.0,Pro,annual,28.0,1372.0,27.0,513.0,1.0,859.0,1.674,0.0,2030.271705954649,1.116,0.0,3.0,26.0,18.0,1301.8,12.0,0.0,9.85,19.0,486.0,0.4615,1.0,5.0,5.0,12.0,0.6,0.5,0.833,7.0,0.714,-2.0,0.192,-0.0134,19.4,58.0,7.0,36.0,65.0,113.1,3.67,3.0,0.571,0.0,92.0,3.0,0.429,0.0,0.0,0.0,2.0,,0.96,0.259,336.8
A-fa2041,Company_211,HealthTech,US,2024-05-29,organic,Pro,15,True,False,1,2,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,16.0,16.0,99.0,3.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.067,
A-de58ca,Company_212,HealthTech,DE,2023-04-13,organic,Enterprise,15,False,False,0,414,8.0,0.0,0.0,2.0,15721.0,12338.0,1965.1,0.375,407.0,1.0,Pro,monthly,15.0,735.0,15.0,735.0,0.0,0.0,0.0,0.0,4205.979805586327,2.14,0.125,146.0,26.0,20.0,1280.8,19.0,0.115,10.81,28.0,479.0,0.7308,2.0,2.0,2.0,7.0,3.0,1.714,0.571,5.0,0.4,-3.0,0.077,0.0475,20.0,90.0,3.0,25.7,59.0,98.7,3.0,3.0,0.667,0.0,155.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.73,0.2,1048.1
A-cab532,Company_218,DevTools,FR,2023-04-03,organic,Pro,11,True,False,1,424,9.0,1.0,1.0,2.0,12577.0,4975.0,1397.4,0.889,406.0,0.0,Basic,annual,20.0,0.0,11.0,2189.0,9.0,-2189.0,-1.0,0.0,1582.7168185679263,1.133,0.0,10.0,44.0,27.0,2148.4,23.0,0.068,10.36,27.0,489.0,0.5227,1.0,5.0,9.0,18.0,0.333,0.333,1.0,9.0,1.0,0.0,0.205,0.0057,11.9,43.0,1.0,32.0,32.0,175.0,4.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.091,1143.4
A-d922bf,Company_221,HealthTech,US,2023-09-08,ads,Basic,5,True,True,1,266,3.0,0.0,0.0,1.0,12338.0,6368.0,4112.7,1.0,215.0,0.0,Basic,annual,5.0,0.0,30.0,5970.0,-25.0,-5970.0,-1.0,0.0,3567.2288030533355,0.867,0.0,105.0,12.0,11.0,756.5,4.0,0.083,11.25,47.0,451.0,0.3333,0.0,2.0,3.0,5.0,0.0,0.0,1.2,2.0,1.5,1.0,0.25,-0.1013,41.0,156.0,6.0,41.8,72.0,116.8,3.5,3.0,0.667,1.0,100.0,1.0,0.167,0.167,0.0,0.0,4.0,,2.4,1.2,2467.6
A-8ed5dd,Company_222,EdTech,UK,2023-06-29,event,Enterprise,5,False,True,1,337,8.0,3.0,0.0,0.0,10894.0,5970.0,1361.8,0.875,297.0,0.0,Enterprise,annual,5.0,995.0,5.0,245.0,0.0,750.0,3.061,3.0,2000.166475214358,1.469,0.0,36.0,32.0,22.0,1819.5,25.0,0.031,10.34,17.0,483.0,0.7812,1.0,5.0,7.0,14.0,0.429,0.429,1.0,7.0,1.0,0.0,0.219,-0.0161,15.6,55.0,4.0,31.5,51.0,89.8,4.0,3.0,0.25,0.0,14.0,2.0,0.5,0.0,1.0,1.0,1.0,3.0,6.4,0.8,2178.8
A-3c1a3f,Company_224,DevTools,UK,2023-08-26,event,Pro,1,False,False,0,279,8.0,0.0,1.0,3.0,9962.0,5771.0,1245.2,0.875,274.0,1.0,Pro,annual,19.0,931.0,45.0,0.0,-26.0,931.0,,-1.0,2059.542164795717,1.654,0.125,25.0,28.0,21.0,1607.2,12.0,0.107,9.36,49.0,445.0,0.4286,0.0,1.0,4.0,11.0,0.0,0.0,0.727,7.0,0.571,-3.0,0.143,0.0096,17.1,58.0,4.0,33.2,58.0,56.5,3.5,3.0,0.5,0.0,83.0,1.0,0.25,0.0,0.0,1.0,1.0,0.0,28.0,4.0,9962.0
A-9bfc9f,Company_228,DevTools,CA,2023-09-14,ads,Pro,53,False,False,0,260,7.0,2.0,1.0,2.0,9805.0,2597.0,1400.7,0.857,255.0,1.0,Pro,monthly,53.0,0.0,53.0,2597.0,0.0,-2597.0,-1.0,1.0,1192.1494193662295,0.851,0.143,36.0,21.0,13.0,1008.1,12.0,0.0,9.57,15.0,469.0,0.5714,1.0,2.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,0.0,0.143,0.0,23.4,79.0,4.0,38.0,63.0,110.0,3.33,3.0,0.25,1.0,91.0,2.0,0.5,0.25,0.0,0.0,2.0,,0.4,0.075,185.0
A-4ae22a,Company_229,EdTech,US,2024-05-09,other,Pro,6,False,True,1,22,1.0,0.0,0.0,0.0,5572.0,5572.0,5572.0,0.0,3.0,0.0,Enterprise,annual,28.0,5572.0,28.0,5572.0,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,3.0,153.0,5.0,0.333,10.0,156.0,180.0,1.6667,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,-1.0,0.0,,90.0,100.0,2.0,17.0,30.0,104.0,3.0,3.0,0.5,0.0,84.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.333,928.7
A-977ca0,Company_232,HealthTech,IN,2023-02-20,partner,Basic,6,False,True,0,466,12.0,0.0,0.0,4.0,25755.0,18109.0,2146.2,0.75,466.0,0.0,Pro,monthly,20.0,0.0,6.0,1194.0,14.0,-1194.0,-1.0,0.0,5182.908539789042,2.415,0.0,47.0,41.0,26.0,1861.4,29.0,0.171,10.8,15.0,495.0,0.7073,2.0,4.0,6.0,14.0,1.0,0.857,0.857,8.0,0.75,-2.0,0.146,0.0453,13.4,52.0,2.0,64.0,72.0,108.5,,,1.0,0.0,244.0,1.0,0.5,0.0,0.0,0.0,0.0,,6.83,0.333,4292.5
A-e89151,Company_234,FinTech,UK,2023-09-14,organic,Pro,8,True,True,0,260,7.0,3.0,0.0,0.0,11459.0,4577.0,1637.0,0.714,199.0,1.0,Basic,monthly,8.0,152.0,8.0,1592.0,0.0,-1440.0,-0.905,3.0,1458.8839341542332,0.891,0.143,8.0,30.0,21.0,1499.5,19.0,0.267,10.43,21.0,413.0,0.6333,2.0,2.0,3.0,7.0,2.0,1.714,0.857,4.0,0.75,-1.0,0.1,-0.0319,14.8,43.0,1.0,54.0,54.0,43.0,5.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.75,0.125,1432.4
A-40906c,Company_235,EdTech,US,2024-03-27,ads,Basic,92,False,False,0,65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,Basic,monthly,92.0,0.0,92.0,0.0,0.0,0.0,,0.0,,,0.0,3.0,2.0,2.0,109.8,2.0,0.5,8.0,257.0,152.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,152.0,152.0,1.0,6.0,6.0,84.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.02,0.011,0.0
A-328bd0,Company_237,HealthTech,AU,2023-05-16,partner,Enterprise,18,False,False,0,381,10.0,1.0,0.0,1.0,11173.0,3582.0,1117.3,0.9,295.0,2.0,Pro,annual,37.0,1813.0,28.0,0.0,9.0,1813.0,,1.0,1112.8786546609651,0.996,0.2,9.0,32.0,21.0,1559.7,31.0,0.062,9.53,51.0,462.0,0.9688,0.0,1.0,2.0,8.0,0.0,0.0,0.5,6.0,0.333,-4.0,0.062,-0.0374,15.4,73.0,3.0,31.7,47.0,88.7,3.5,3.0,0.333,0.0,86.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.78,0.167,620.7
A-b3fe05,Company_238,Cybersecurity,CA,2024-05-28,partner,Pro,8,False,False,0,3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,3.0,43.3,66.0,112.7,3.0,3.0,0.333,0.0,273.0,3.0,1.0,0.0,0.0,0.0,0.0,,,0.375,
A-e693b6,Company_240,FinTech,AU,2023-05-25,event,Enterprise,55,False,True,1,372,7.0,1.0,0.0,1.0,21120.0,10945.0,3017.1,0.857,304.0,1.0,Pro,monthly,55.0,2695.0,55.0,1045.0,0.0,1650.0,1.579,1.0,3652.4898552709415,1.211,0.143,20.0,25.0,18.0,1675.1,4.0,0.0,11.72,14.0,488.0,0.16,3.0,6.0,9.0,11.0,1.0,1.636,1.636,2.0,4.5,7.0,0.36,0.0339,20.3,90.0,1.0,1.0,1.0,144.0,3.0,3.0,0.0,0.0,330.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.45,0.018,384.0
A-2446e3,Company_241,EdTech,IN,2024-01-10,organic,Pro,27,False,False,1,142,2.0,0.0,1.0,0.0,6696.0,5373.0,3348.0,0.5,131.0,0.0,Enterprise,monthly,27.0,5373.0,27.0,1323.0,0.0,4050.0,3.061,-1.0,2863.7824638055176,0.855,0.0,43.0,9.0,9.0,533.5,5.0,0.111,9.67,9.0,485.0,0.5556,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,0.222,0.0,60.6,153.0,2.0,39.0,72.0,83.0,4.0,3.0,0.0,0.0,22.0,1.0,0.5,0.0,1.0,1.0,2.0,3.0,0.33,0.074,248.0
A-922109,Company_243,Cybersecurity,US,2024-01-26,ads,Pro,3,False,False,1,126,3.0,0.0,0.0,0.0,3377.0,1862.0,1125.7,1.0,69.0,0.0,Basic,annual,72.0,1368.0,38.0,1862.0,34.0,-494.0,-0.265,0.0,882.808208691635,0.784,0.0,55.0,16.0,14.0,781.6,7.0,0.125,9.5,3.0,472.0,0.4375,1.0,1.0,1.0,7.0,3.0,0.857,0.286,6.0,0.167,-5.0,0.062,-0.0225,33.7,121.0,3.0,25.3,49.0,127.0,3.0,3.0,0.667,0.0,49.0,1.0,0.333,0.0,0.0,1.0,1.0,0.0,5.33,1.0,1125.7
